RMSD	RMS_M	AMP	ATP	Theta1	Theta2
NaN	NaN	22.431022632	30.0938435799	92.4554391349	82.1406800575
2.76391	2.08423679077	22.5393629654	29.369474436	80.5515931992	77.5526567413
3.10956	1.96387219543	23.1874849102	29.6073787285	82.9328037412	76.2356248881
3.09512	2.1418667092	22.8522944844	29.2571636694	82.7058008968	77.5807158369
3.15364	2.86149488904	23.0020028839	29.2451759625	74.2561740439	78.666101839
3.13976	1.88946685602	23.0607559351	29.8397581182	70.9079378247	73.6088007567
2.85766	2.20617429049	22.6609433017	29.2967600194	82.5809469864	78.8724863883
2.84486	2.42871056324	22.7760119337	29.3321958648	83.053041221	77.8208182376
3.1179	2.81364265677	22.5352777282	29.6029020982	74.6689128795	75.6010196476
2.71392	2.36847081468	22.604623472	29.8157885829	82.4556433391	76.5121917015
3.68244	2.84140000704	22.7809497333	29.5709267579	67.4476544742	76.409290825
3.07916	2.91361733932	22.8590830825	29.3262464265	73.6911156472	77.6563203526
3.09874	0.968904536061	23.4359450918	29.6416699826	83.1226785102	77.283684938
3.19332	2.45837242907	22.6020417778	28.9781954884	72.4153411945	79.4333861332
2.89796	2.24033435005	22.9251973034	29.2982352676	81.6324242402	79.532693818
3.66695	1.16073338885	24.7627898103	29.6692363219	82.8455661167	79.8492078257
3.11604	2.61914508953	22.6003260853	29.2554713317	73.2061147143	77.4159373721
2.9057	2.31818679144	22.958143528	29.360532026	81.4599165114	79.1817784038
2.78049	2.1645177292	22.9902179075	29.5806207837	83.2046941744	77.0456763368
2.8108	2.41633296547	22.7563507275	29.3383606689	81.8607765023	76.7222692011
3.2131	2.69237237395	22.9326629922	29.2117652954	73.6968705396	79.0395366543
2.87614	2.31276825471	22.9249850878	29.3995171189	82.8984521067	78.5643131645
3.28897	2.47213875015	23.0086657797	29.246548928	73.4149706433	79.9077857305
3.13693	1.11445771566	23.4017812532	29.619352577	81.3759569172	77.2869213376
3.11454	0.918160661322	23.3927294927	29.6482705918	82.4872869664	74.794173335
3.02252	2.25047506096	22.9341027107	29.329989231	81.9763713749	78.1705522038
3.09455	3.04202646274	22.869328637	29.2370224342	73.4552834844	78.1560965876
2.8736	2.26581729184	22.7527911742	29.2411155079	82.7393681369	77.7474986636
2.95467	2.10592378779	23.4174017657	29.6597430636	83.0807646027	76.2275372291
3.73194	3.27316177419	22.7530210486	29.5626670744	66.6614923437	79.0119515021
2.86514	2.407414796	22.7273116857	29.2890085792	82.9216460568	78.4410628342
2.84748	2.63419000833	22.8626902137	29.5196984343	83.477716894	78.9390905607
2.7914	2.25514057212	22.9340528808	29.5545611206	82.0144154225	77.8369650614
2.92354	2.22005450384	22.9377949136	29.2846411917	82.5593687008	77.6782953514
2.8701	2.184919907	22.8557739663	29.3247463476	82.9537808895	78.8886189984
2.69458	2.69584606385	22.8194429993	29.4459756818	82.8456018455	77.4419721643
3.07036	2.08761802062	23.0632640396	29.2946710687	81.649700245	77.9658075871
2.72491	2.27955631648	22.7044560241	29.9247369528	83.810160523	76.1440938477
3.28272	1.09723516167	23.286335636	29.7405667602	82.6514404238	74.9875505166
3.20239	1.55712587802	24.0451718828	29.8005677831	75.5899955715	76.8436504254
2.87923	2.4600058943	22.9477946753	29.4702308478	82.8149214119	78.0048056122
3.06999	3.20688852316	23.032680698	29.2614315215	73.4189017184	77.1063240718
3.64409	2.76625739945	23.2644780704	29.4734465684	71.069381448	78.2580898178
3.41942	1.49586730695	22.6929998569	29.1827854033	82.7869016162	77.4432998101
3.68307	1.8899973545	22.8304376253	29.2349943058	74.5024442366	78.1163757312
3.70738	1.70557790792	22.8607893967	29.2389670054	73.4584511787	79.3911428769
2.97158	2.7700545121	22.5376026546	29.5386381759	75.5130015105	77.0878309335
3.42861	1.70228581619	22.7338598903	29.1000819043	73.1293195115	81.8555801191
3.01748	2.09561947882	23.4945733721	29.6866429305	83.9672411446	75.2657766276
3.3786	3.20216504884	24.0167526634	29.4681677046	75.2889864344	78.133351956
3.09491	2.63753786703	22.6150762733	29.4114664821	74.185698136	78.6395915675
