RMSD	RMS_M	AMP	ATP	Theta1	Theta2
NaN	NaN	22.431022632	30.0938435799	92.4554391349	61.5618569588
3.37393	3.16822489732	22.6459736521	29.1808009279	73.0457709249	57.6532741064
3.06518	1.79739199954	23.3668492261	29.8199747691	84.9008836732	61.070229713
3.25644	2.92570692312	23.3032364537	29.492688642	74.5310440769	56.8807862354
2.7436	2.17169173687	22.6852028569	29.4749980021	84.6741736734	58.3650854476
3.23755	3.99659079717	22.7523266773	29.3204582223	83.8584759826	58.5376442884
3.26674	3.06463456223	23.4438833209	29.6318533284	84.2004357645	62.4116862712
3.52103	1.86618702171	22.7902203362	29.6080375465	75.4236439108	62.7580799649
3.63449	2.65255065927	22.5682176716	29.3297036173	73.7229027535	59.0647958381
2.88478	2.44901347485	22.8940733701	29.4735075256	85.9655726335	58.6520814224
2.83196	2.14026960918	22.8122202193	29.3780805957	84.7095685648	58.789618883
2.68532	2.35987393731	23.1940222103	29.5857613617	86.8108102878	58.3233790129
2.86111	2.49187840795	23.0252601324	29.3547285324	85.5780964636	60.3701108032
2.88058	2.33343373594	22.7896285425	29.4482190141	86.0866389755	58.9206495015
3.63787	3.34793115222	22.9978489476	29.2792095769	83.8013902853	63.9242709876
2.8859	2.25468822678	22.6774821159	29.4001292486	85.627997386	59.2737731699
2.85929	1.90710880654	23.8557220322	29.7231933828	85.8090686216	57.9941230004
2.7245	2.51262193734	22.778987436	29.4604221053	86.0557595917	58.2814856207
2.99487	1.86694429483	23.2599865809	29.7165101274	86.5581472324	60.5583886957
2.75479	1.85014729143	22.93493582	29.7666934643	84.7529490679	58.8587262493
2.83872	1.97001827403	22.7781395012	29.2783760231	85.0259296504	58.5968481561
3.39034	3.21072546319	22.6398942751	29.2437268434	73.0945127329	57.9486966311
3.47232	3.47538861136	23.3189932594	29.6774186167	74.9674520505	60.5545766817
3.32204	3.06670800697	22.6567159603	29.1164925083	72.7744049328	58.9015339766
3.48972	2.28197589821	22.7123950961	29.3712318376	73.3556473355	59.5279282624
3.34881	1.89145552419	23.453408411	29.538973406	84.5201465025	62.3763795967
2.86035	2.27419854015	22.9224938426	29.4522580287	85.5940912602	59.2421521859
2.88687	2.37345697243	22.9580584905	29.3622964454	86.3131140796	59.4145164023
2.86466	2.4605351044	22.672100708	29.3236462332	86.2223625855	58.9395796218
3.29143	3.84311605341	22.925110154	29.4541453129	82.8020619281	61.3209890785
3.12645	3.89108031272	22.8501028185	29.5613597158	84.4610945241	59.9471420303
3.19743	1.95482863699	23.8869194208	29.7218653022	86.925007242	62.1537472084
2.83946	2.24014753978	22.8087302634	29.3731907942	85.5080406546	59.4623863076
2.86123	2.21561255638	22.9072654764	29.4129078432	86.4338487988	59.7312324984
2.81704	2.72374521569	23.1048431473	29.4099015153	86.578000494	58.412396886
3.06933	4.18230905123	22.8913428644	29.4159264811	84.287450321	59.9633807534
2.97762	2.34923242784	22.8178010707	29.4619359813	86.0201313621	59.5386798404
3.17293	3.13369590101	22.6248448876	29.4280708205	75.1889306491	57.0315960072
3.07869	2.26207228001	22.7103728147	29.3544840099	86.3525407503	59.0744245226
2.88711	2.31045493356	22.8093780453	29.4028224876	85.8647807572	60.5448144464
3.21867	3.23104781766	22.6837090659	29.3526099345	73.9410345001	57.1920572889
2.7856	2.20511723044	23.8134076732	29.6399101035	88.4322805529	60.2634263788
3.1889	2.14769550914	23.3716518246	29.4799811449	86.3645496755	60.9347671213
2.81422	2.30171631614	22.8859492807	29.5169957711	85.2976265939	58.197964997
2.78057	2.01794945427	22.6605466603	29.3400758709	84.7081704568	57.5602089087
2.85713	2.15200813195	22.7830234211	29.6002550196	86.7782767341	58.0027926299
3.63576	1.58641766253	23.7440507608	29.4845733532	74.0267455397	62.3943752822
2.81397	1.80205133112	22.8924133198	29.4216043817	85.382381117	60.4178087514
2.69634	2.22868436527	22.8048129869	29.5775759333	86.5053653949	58.3962531058
3.4021	1.43033038142	22.608369514	29.5193762904	86.9262326116	60.4516218975
2.98793	2.23245627057	22.7869863653	29.3035750174	85.1986281732	58.1280317446
