RMSD	RMS_M	AMP	ATP	Theta1	Theta2
NaN	NaN	22.431022632	30.0938435799	92.4554391349	61.5618569588
3.09365	1.02545258301	22.2361343727	29.6928156264	70.2503189762	47.9658987615
3.50882	2.07718367026	22.5324801463	29.4442464771	70.0249196113	55.5458680925
3.22414	1.18735167495	22.0733514155	29.8346404819	66.7356356682	46.1892122809
3.64609	2.14848155682	22.6954680043	29.3233420215	67.1452922383	53.7297614234
3.83435	1.62942597254	23.3246233551	29.680020743	67.3737547531	54.1352014924
3.39258	2.41898718475	22.6620949504	29.5536453061	68.175578345	49.7959358601
3.40012	1.97243757823	22.6363461919	29.739369438	66.6932869708	48.9040501602
3.37761	2.15748441478	22.6526932653	29.4091023809	69.7492433408	52.8567343172
3.18149	3.68774212764	22.5711617542	29.3706003252	75.1990982171	55.5866466964
3.23761	0.771319648395	21.9547141006	29.7047321465	68.1297062191	46.304423249
3.6751	2.09411652016	22.4164839118	29.4313144917	68.3020777161	55.6956270419
3.36586	2.41927861149	22.7254060859	29.405114126	69.0361347736	52.4796806989
3.37382	2.4574340276	22.5363503117	29.074056429	73.6687453302	55.1296669221
3.53115	2.0420355041	22.6274574838	29.1792920622	70.9466633499	54.3157855654
3.43221	1.79062949825	22.6399226126	29.612364165	67.9668727117	50.4530521563
3.0979	0.792612768002	21.8237659227	29.8087081746	68.1955507025	45.7906546789
3.72878	1.36773572009	23.6531601046	29.9392315666	69.1225152766	56.4838618805
3.15352	2.25747934653	22.5586686121	29.1748027892	74.6850699456	53.0444393965
3.40577	1.67874744974	22.6677029538	29.8426011989	66.6633391929	47.7275338379
3.30906	0.984137185559	22.3243615983	29.7516917971	66.7445372547	46.2664510458
3.0582	1.4033777111	22.0278116996	29.5559190289	68.7322268847	48.6526340516
3.61784	2.20438494823	23.4177046731	29.4515511341	70.991463618	55.3672227262
3.31769	0.564313742523	22.0235016458	29.7373255038	66.3481189183	45.3757724382
3.64599	1.73621196863	23.2854231291	29.7643024569	68.7151730648	54.2884730043
3.33	1.9065376996	22.8868524949	29.7278321891	67.1400210947	47.9846900387
3.12841	1.41924416504	22.4052278758	29.7420052385	68.7248808754	49.0517578327
3.10218	0.92767343392	22.1819286044	29.8391127286	69.265014831	46.6995287408
3.78571	1.96716852354	23.0147324186	29.583103458	67.6537236997	54.1918977099
3.43178	1.64740826755	22.6409069373	29.4948229533	70.5688947299	53.6413483039
3.30272	1.69149785693	22.4778265436	29.6603926879	67.0283066354	47.5595000908
3.64602	1.68045559299	22.4648831595	29.5817818368	66.994372579	54.1850073049
3.07775	2.64548010766	22.3564336976	29.5993917922	69.1567500889	50.892302117
3.65941	2.19178899532	22.5517352751	29.3793232571	68.3614944773	54.1168733642
3.32169	1.83166290567	22.7190891237	29.6409678151	68.3894782666	50.3031939399
4.13955	1.93867532093	23.3439770454	29.5373771304	66.3039840532	55.3666475743
3.57886	1.86997620306	22.5702836251	29.5099364974	68.6878826092	54.5489401721
3.2082	1.72588556979	22.5832247984	29.8015809439	69.0428625373	49.0951302469
3.57255	1.8144478499	23.039157148	29.745984296	68.656583213	53.0020461202
3.30653	2.0968628949	22.6853604099	29.4523321528	69.6552305968	52.3201401091
3.1338	1.29384156681	22.6334920683	29.6579630268	69.0391889232	48.6440182501
3.74479	1.28651506015	23.4499844822	29.900473392	70.0468209039	58.7494995928
3.57349	1.89598391343	22.6286132421	29.486317339	68.1554442533	54.0049021533
3.1953	2.93284537608	22.8306218814	29.1298461836	72.9007163885	53.0400655519
3.19275	0.851297245385	22.0579752745	29.7828939632	68.9002976261	46.740897478
3.25476	1.81058139834	22.7966190129	29.5255765141	70.8771143656	52.2995237316
3.66314	1.97259777958	22.4811261879	29.3800971127	68.6532335309	55.4542033893
3.62775	2.28264999507	22.6329360905	29.4277800538	68.5962660979	55.7719277309
3.73496	2.32360797038	22.4847114788	29.3804024739	67.0611705395	54.0654148179
3.26455	0.789025348135	21.9765495248	29.690712428	68.091388105	47.6544349437
3.19161	0.603773136203	21.6157371541	29.815581288	67.0585920617	44.4875049011
